ID,Code,Lesson,Structure,Pinyin,English Equivalent,复习,Example,Example Pinyin,Example Translation,URL
203,4.01.3,Lesson,刚/刚刚 V,gāng/ gānggang V ,just V’ed,,我上个月刚结婚。,wǒ shànggèyuè gāng jiéhūn。 ,I just got married last month.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
204,4.01.3,Lesson,刚 + V + DURATION,gāng + V + DURATION ,have V’ed for just DURATION,,他刚来一个月。,tā gāng lái yī gè yuè。 ,He’s been [lit. come] here for just a month.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
205,4.01.3,Lesson,刚才,gāngcái ,moments ago,,刚才我收到了一封电子邮件。,gāngcái wǒ shōu dàoliǎo yī fēng diànzǐyóujiàn。 ,I just received an email.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4332378
206,4.01.4,Lesson,即使……也……,jíshǐ…… yě…… ,"even if…, still…",,即使冬天很冷，他也每天去操场跑步。,jíshǐ dōngtiān hěn lěng， tā yě měitiān qù cāochǎng pǎobù。 ,"Even if it’s very cold in winter, he still goes to the playground to job every day.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332387
207,4.01.5,Lesson,(在) N 上,( zài) N shàng ,with regard to N,,在爱好上，我更像我妈妈。,zài àihào shàng， wǒ gèng xiàng wǒ māma。 ,"In terms of hobbies, I am more like my mother.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4332388
208,4.02.1,Lesson,正好,zhènghǎo ,just right,,衣服大小正好。,yīfu dàxiǎo zhènghǎo。 ,The clothes are just the right size.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4421985
209,4.02.1,Lesson,V 得正好,V dé zhènghǎo ,V’ed at just the right time,,你来得正好。,nǐ láide zhènghǎo。 ,You came at just the right time.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4421985
210,4.02.2,Lesson,N & N 差不多,N & N chàbuduō ,N & N are about the same,,这辆车的颜色和那辆车的颜色差不多。,zhè liàng chē de yánsè hé nà liàng chē de yánsè chàbuduō。 ,The color of this car is similar to the color of that car.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
211,4.02.2,Lesson,差不多 #,chàbuduō # ,about #,,这台电脑差不多5000块。,zhè tái diànnǎo chàbuduō5000 kuài。 ,"This computer is about 5,000 yuan.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
212,4.02.2,Lesson,差不多 A,chàbuduō A ,about A,,女儿个子跟我差不多一样高。,nǚ'ér gèzi gēn wǒ chàbuduō yīyàng gāo。 ,My daughter is about as tall as me.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
213,4.02.2,Lesson,差不多 V,chàbuduō V ,about V’ed,,工作差不多干完了。,gōngzuò chàbuduō gàn wánle。 ,Work is about finished.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
214,4.02.2,Lesson,几乎 #,jīhū # ,almost #,,这台电脑几乎5000块。,zhè tái diànnǎo jīhū5000 kuài。 ,"This computer is almost 5,000 yuan.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
215,4.02.2,Lesson,几乎 A,jīhū A ,almost,,得失几乎相当。,déshī jīhū xiāngdāng。 ,The loss and the gain are almost the same.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
216,4.02.2,Lesson,几乎 V,jīhū V ,almost,,这件事我几乎忘了告诉你了。,zhè jiàn shì wǒ jīhū wàng le gàosu nǐ le。 ,I almost forgot to tell you about this.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422049
217,4.02.3,Lesson,尽管,jǐnguǎn ,although,,尽管今天很冷，可是他穿的衣服很少。,jǐnguǎn jīntiān hěn lěng， kěshì tā chuān de yīfu hěn shǎo。 ,"Although it is very cold today, he wears very little clothes.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422084
218,4.02.4,Lesson,(虽然/尽管) …… 却,( suīrán/ jǐnguǎn) …… què ,(although)… but,,(虽然/尽管) 工作很忙，她们却每天坚持锻炼。,( suīrán/ jǐnguǎn) gōngzuò hěn máng， tāmen què měitiān jiānchí duànliàn。 ,"(Although) they are busy at work, but they insist on exercising every day.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422102
219,4.02.5,Lesson,而,ér ,and/but,,听、说能力很重要，而写汉字的能力也重要。,tīng、 shuō nénglì hěn zhòngyào， ér xiě hànzì de nénglì yě zhòngyào。 ,"Listening and speaking abilities are very important, and (on the other hand) the ability to write Chinese characters is also important.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422160
220,4.03.1,Lesson,挺 A 的,tǐng A de ,quite A,,我挺喜欢这个地方的。,wǒ tǐng xǐhuan zhège dìfang de。 ,I quite like this place.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422169
221,4.03.2,Lesson,本来 V/A,běnlái V/A ,originally V/A,,她本来想学新闻，但是现在学习法律。,tā běnlái xiǎng xué xīnwén， dànshì xiànzài xuéxí fǎlǜ。 ,"She originally wanted to learn the news, but now she is studying law.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422183
222,4.03.2,Lesson,本来就 V/A,běnlái jiù V/A ,V/A in the first place,,学生本来就不应该上课迟到。,xuésheng běnlái jiù bù yīnggāi shàngkè chídào。 ,Students should not be late for class in the first place.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422183
223,4.03.3,Lesson,另/另外/另外的 + # + N,lìng/ lìngwài/ lìngwài de + # + N ,another # N,,他拿出另/另外/另外的一本书。,tā náchū lìng/ lìngwài/ lìngwài de yī běn shū。 ,He took out another book.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
224,4.03.3,Lesson,另外的/其他的/别的 N,lìngwài de/ qítā de/ biéde N ,other N,,不要看这本书，请看另外的/其他的/别的书。,bùyào kàn zhè běn shū， qǐngkàn lìngwài de/ qítā de/ biéde shū。 ,"Don't read this book, please read other books.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
225,4.03.3,Lesson,另/另外 V,lìng/ lìngwài V ,V another,,他另/另外给了我三十元。,tā lìng/ lìngwài gěi le wǒ sānshí yuán。 ,He gave me another 30 yuan.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
226,4.03.3,Lesson,另外，……,lìngwài，…… ,"In addition, …",,多吃水果。另外，还要记得多喝水。,duō chī shuǐguǒ。 lìngwài， hái yào jìde duō hē shuǐ。 ,"Eat more fruits. Also, remember to drink more water.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422189
227,4.03.4,Lesson,首先……其次……,shǒuxiān…… qícì…… ,First… second…,,应聘时，首先要穿正式的衣服，其次不要紧张。,yìngpìn shí， shǒuxiān yào chuān zhèngshì de yīfu， qícì bùyào jǐnzhāng。 ,"At the job interview, first [you] should wear formal clothing, and second don't be nervous.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4422195
228,4.03.5,Lesson,不管,bùguǎn ,no matter,,不管什么电影，我都喜欢看。,bùguǎn shénme diànyǐng， wǒ dōu xǐhuan kàn。 ,"I like to watch all kinds of movies. (Lit. No matter what movie, I like to watch them all.)",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423053
229,4.04.1,Lesson,以为,yǐwéi ,to believe falsely,,我以为东西是给我的，其实是给爸爸的。,wǒ yǐwéi dōngxi shì gěi wǒ de， qíshí shì gěi bàba de。 ,"I thought the thing was for me, but actually it was for my father.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423130
230,4.04.2,Lesson,原来/本来,yuánlái/ běnlái ,originally,,原来/本来需要12个小时。,yuánlái/ běnlái xūyào12 gè xiǎoshí。 ,It originally required 12 hours.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423168
231,4.04.2,Lesson,原来 clause,yuánlái clause ,it turns out,,我还以为是谁帮我打扫房间呢，原来是你啊！,wǒ hái yǐwéi shì shéi bāng wǒ dǎsǎo fángjiān ne， yuánlái shì nǐ ā！ ,I was wondering who was cleaning the room for me. It turns out it’s you!,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423168
232,4.04.2,Lesson,本来就 V/A,běnlái jiù V/A ,(see 4.03.2),,-,- ,-,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423168
233,4.04.3,Lesson,并不/并没 V/A,bìngbù/ bìng méi V/A ,(emphasize the negative),,大家说外面很冷，但我并不觉得冷。,dàjiā shuō wàimiàn hěn lěng， dàn wǒ bìngbù juéde lěng。 ,"Everyone said that it was cold outside, but I (rather) didn’t feel cold.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423171
234,4.04.4,Lesson,按照 N,ànzhào N ,according to N,,我们还是按照原来的计划进行。,wǒmen háishi ànzhào yuánlái de jìhuà jìnxíng。 ,We are still proceeding according to the original plan.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423204
235,4.04.5,Lesson,甚至 V/A,shènzhì V/A ,even V/A,,他工作很努力，甚至忘了吃饭。,tā gōngzuò hěn nǔlì， shènzhì wàng le chīfàn。 ,He worked hard and even forgot to eat.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423210
236,4.05.1,Lesson,肯定 V/A,kěndìng V/A ,certainly V/A,,运动对身体健康肯定有好处。,yùndòng duì shēntǐ jiànkāng kěndìng yǒu hǎochu。 ,Exercise is definitely good for your health.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423222
237,4.05.1,Lesson,肯定,kěndìng ,certain,,我能肯定，张远一定会来。,wǒ néng kěndìng， zhāng yuǎn yīdìng huì lái。 ,I can be sure that Zhang Yuan will definitely come.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423222
238,4.05.1,Lesson,肯定的,kěndìng de ,"affirmative, positive",,他的回答是肯定的。,tā de huídá shì kěndìng de。 ,His answer is yes (in the affirmative).,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423222
239,4.05.2,Lesson,再说,zàishuō ,talk about it / deal with it until a later time,,现在学习忙，考完再说吧。,xiànzài xuéxí máng， kǎowán zàishuō ba。 ,"I’m busy studying now, let’s talk about it / deal with it (until) after the exam.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423226
240,4.05.2,Lesson,再说,zàishuō ,besides,,毕业后大家都很忙，再说，很多同学不在一个城市。,bìyè hòu dàjiā dōu hěn máng， zàishuō， hěn duō tóngxué bùzài yī gè chéngshì。 ,"After graduation, everyone was very busy. Besides, many students are not in a city.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423226
241,4.05.3,Lesson,实际的,shíjì de ,real,,实际的东西跟广告上的不一样。,shíjì de dōngxi gēn guǎnggào shàng de bùyīyàng。 ,The actual thing is different from the one on the advertisement.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423230
242,4.05.3,Lesson,实际,shíjì ,reality,,广告跟实际不一样。,guǎnggào gēn shíjì bùyīyàng。 ,Advertising is not the same as the actual [thing].,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423230
243,4.05.3,Lesson,实际上,shíjìshàng ,in reality,,广告说得好，实际上不一定好。,guǎnggào shuō dé hǎo， shíjìshàng bùyīdìng hǎo。 ,"The advertisement is well said, but it is not necessarily good in reality.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423230
244,4.05.4,Lesson,对……来说,duì…… láishuō ,"for, as for",,对我来说，学习机会更重要。,duìwǒláishuō， xuéxí jīhuì gèng zhòngyào。 ,"For me, learning opportunities are more important.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423233
245,4.05.5,Lesson,特别,tèbié ,"very much, extremely",,您女儿长得特别像您。,nín nǚ'ér zhǎngde tèbié xiàng nín。 ,Your daughter looks especially like you.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423240
246,4.05.5,Lesson,特别/尤其,tèbié/ yóuqí ,"especially, particularly",,您女儿长得真像您，特别是/尤其眼睛。,nín nǚ'ér zhǎngde zhēn xiàng nín， tèbié shì/ yóuqí yǎnjing。 ,"Your daughter looks like you, especially her eyes.",https://chinesezerotohero.teachable.com/courses/281078/lectures/4423240
247,4.05.5,Lesson,特别的,tèbié de ,special,,我有一个特别的要求。,wǒ yǒu yī gè tèbié de yāoqiú。 ,I have a special request.,https://chinesezerotohero.teachable.com/courses/281078/lectures/4423240
248,4.06.1,Lesson,竟然 V/A,jìngrán V/A ,(expressing surprise),,这个歌特别好听，最近很流行，你竟然没听过？,zhège gē tèbié hǎotīng， zuìjìn hěn liúxíng， nǐ jìngrán méi tīng guò？ ,"This song is particularly nice, it has been very popular recently, you’re telling me you’ve never heard of it?",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505534
249,4.06.2,Lesson,# 倍,# bèi ,# times,,二的五倍是十。,èr de wǔ bèi shì shí。 ,"2, multiplied 5 times, is 10.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505533
250,4.06.3,Lesson,值得 V,zhíde V ,is worth,,您看看这个，不管从价格方面看， 还是从质量上看， 都是值得考虑的。,nín kànkan zhège， bùguǎn cóng jiàgé fāngmiàn kàn， háishi cóng zhìliàng shàng kàn， dōu shì zhíde kǎolǜ de。 ,"Look at this, both in terms of price and quality, it is worth considering.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505535
251,4.06.3,Lesson,值/值得,zhí/ zhíde ,is worth it,,别总是为一点儿小事生气，不值/值得。,bié zǒngshì wéi yīdiǎnr xiǎoshì shēngqì， bùzhí/ zhíde。 ,"Don't always be angry with a little thing, it’s not worth it.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505535
252,4.06.3,Lesson,值 $,zhí $ ,is worth $,,这个手表值五十块。,zhège shǒubiǎo zhí wǔshí kuài。 ,This watch is worth fifty yuan.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505535
253,4.06.4,Lesson,其中,qízhōng ,among them,,我们不仅要会读书，还要会选择其中的好书来读。,wǒmen bùjǐn yào huì dúshū， hái yào huì xuǎnzé qízhōng de hǎo shū lái dú。 ,"Not only do we have to read books, but we also need to know how to choose the good ones among them to read.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505536
254,4.06.5,Lesson,(在) SITUATION 下,( zài) SITUATION xià ,under SITUATION,,(在) 一般情况下，你花的钱越多，买的东西也就越好。,( zài) yībān qíngkuàng xià， nǐ huā de qián yuè duō， mǎi de dōngxi yě jiù yuè hǎo。 ,"In general (lit. under general circumstances), the more money you spend, the better the goods you buy.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505538
255,4.07.1,Lesson,估计/可能 CLAUSE,gūjì/ kěnéng CLAUSE ,perhaps CLAUSE,,你有没有去问问小王？估计/可能他应该有办法。,nǐ yǒu méiyǒu qù wèn wèn xiǎo wáng？ gūjì/ kěnéng tā yīnggāi yǒubànfǎ。 ,Have you asked Xiao Wang? Perhaps he should have a solution.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505570
256,4.07.1,Lesson,估计/可能 V,gūjì/ kěnéng V ,perhaps V,,我还不习惯北方的气候，估计/可能是天气太干。,wǒ hái bù xíguàn běifāng de qìhòu， gūjì/ kěnéng shì tiānqì tài gàn。 ,I am not used to the climate in the north. Perhaps it’s because the weather is too dry.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505570
257,4.07.1,Lesson,可能的 N,kěnéng de N ,probable,,他这么多天没来上课，最可能的原因就是他回国了。,tā zhème duō tiān méi lái shàngkè， zuì kěnéng de yuányīn jiùshì tā huíguó le。 ,He did not come to class for so many days. The most probable reason is that he returned to China.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505570
258,4.07.2,Lesson,来不及,láibují ,be too late,,等你身体出现问题了，后悔就来不及了。,děng nǐ shēntǐ chūxiàn wèntí le， hòuhuǐ jiù láibují le。 ,"When you have a problem with your health, it’ll be too late to regret it.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505571
259,4.07.3,Lesson,V + V + O,V + V + O ,VO for a bit (reduplication),,咱们午饭后就去附近的公园散散步吧。,zánmen wǔfàn hòu jiù qù fùjìn de gōngyuán sànsànbù ba。 ,Let's go for a walk in the nearby park after lunch.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505572
260,4.07.3,Lesson,V + 了 + V + O,V + le + V + O ,V’ed O for a bit (reduplication),,星期天我睡了睡觉，游了游泳，做了做作业。,Xīngqītiān wǒ shuì le shuìjiào， yóu le yóuyǒng， zuò le zuò zuòyè。 ,"On Sunday, I slept a bit, did some swimming, [and] did some homework.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505572
261,4.07.4,Lesson,要是,yàoshi ,if,,要是质量好的话，那么价格贵一点儿也没关系。,yàoshi zhìliàng hǎo dehuà， nàme jiàgé guì yīdiǎnr yě méiguānxi。 ,"If the quality is good, then it doesn't matter if the price is a little bit expensive.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505573
262,4.07.5,Lesson,既..... 又/也/还……,jì..... yòu/ yě/ hái…… ,not only… but also…,,散步既可以活动身体，又可以减肥。,sànbù jì kěyǐ huódòng shēntǐ， yòu kěyǐ jiǎnféi。 ,Walking can [allow you to] both move the body and lose weight.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505574
263,4.08.1,Lesson,使 O A/V,shǐ O A/V ,make O A/V,,怎么样才能使她喜欢我呢？,zěnmeyàng cáinéng shǐ tā xǐhuan wǒ ne？ ,How can I make her like me?,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505625
264,4.08.2,Lesson,只要……(就)……,zhǐyào……( jiù)…… ,as long as… (then)…,,只要这次你好好儿准备，(就) 一定能把比赛踢好。,zhǐyào zhè cì nǐhǎo hǎo r zhǔnbèi，( jiù) yīdìng néng bǎ bǐsài tī hǎo。 ,"As long as you are ready this time, you will be able to play the match well.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505626
265,4.08.3,Lesson,可不是！,kěbushì！ ,No kidding!,,A: 没想到咱们毕业都已经十年了。B: 可不是！时间过得太快了， 真想大家。,A: méixiǎngdào zánmen bìyè dōu yǐjīng shí nián le。B: kěbushì！ shíjiān guòdé tài kuài le， zhēn xiǎng dàjiā。 ,"A: I didn't expect that we have graduated for ten years.
B: Tell me about it! Time flies too fast, I really miss everyone. ",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505628
266,4.08.4,Lesson,因此,yīncǐ ,therefore,,我认识他很多年，因此，很了解他的性格。,wǒ rènshi tā hěn duō nián， yīncǐ， hěn liǎojiě tā de xìnggé。 ,"I have known him for many years, so I know his character very well.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505627
267,4.08.5,Lesson,往往,wǎngwǎng ,"usually, often",,女孩子对衣服颜色的选择往往与她们的性格有关。,nǚháizi duì yīfu yánsè de xuǎnzé wǎngwǎng yǔ tāmen de xìnggé yǒuguān。 ,Girls' choice of clothing color is often related to their personality.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505629
268,4.08.5,Lesson,经常/常,jīngcháng/ cháng ,often,,上大学时我很喜欢运动，经常/常打篮球、踢足球。,shàng dàxué shí wǒ hěn xǐhuan yùndòng， jīngcháng/ cháng dǎ lánqiú、 tī zúqiú。 ,"When I was in college, I liked sports very much. I often played basketball and football.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505629
269,4.09.1,Lesson,难道,nándào ,could it be that,,怎么又买了这么多饼干和巧克力？难道你不减肥了？,zěnme yòu mǎi le zhème duō bǐnggān hé qiǎokèlì？ nándào nǐ bù jiǎnféi le？ ,How did you buy so many cookies and chocolates? Could it be that you’re not dieting any more?,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505649
270,4.09.2,Lesson,通过,tōngguò ,through,,任何成功都要通过努力才能得到。,rènhé chénggōng dōu yào tōngguò nǔlì cáinéng dédào。 ,Any success must be achieved through hard work.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
271,4.09.2,Lesson,经过,jīngguò ,after having gone through,,经过一次次失败之后，他终于成功了。,jīngguò yīcì cì shībài zhīhòu， tā zhōngyú chénggōng le。 ,"Having gone through many failures, he finally succeeded.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
272,4.09.2,Lesson,通过,tōngguò ,pass through,,这条街只能步行通过。,zhè tiáo jiē zhǐnéng bùxíng tōngguò。 ,You can only go through this street on foot.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
273,4.09.2,Lesson,经过,jīngguò ,pass by,,我正好经过这儿，顺便过来看看你。,wǒ zhènghǎo jīngguò zhèr， shùnbiàn guòlái kànkan nǐ。 ,"It just so happened that I’m passing by, [so I] came to see you on the way.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
274,4.09.2,Lesson,通过,tōngguò ,"to pass (an exam, interview or resolution)",,我通过那家公司的面试了。,wǒ tōngguò nà jiā gōngsī de miànshì le。 ,I passed the interview with that company.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
275,4.09.2,Lesson,经过,jīngguò ,the whole story,,小王把事情的经过告诉我了。,xiǎo wáng bǎ shìqing de jīngguò gàosu wǒ le。 ,Xiao Wang told me the whole story of [how] the event [happened].,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505650
276,4.09.3,Lesson,可是,kěshì ,but,,当时她的父母和亲戚都不支持她，可是她坚持自己的选择。,dāngshí tā de fùmǔ hé qīnqi dōu bù zhīchí tā， kěshì tā jiānchí zìjǐ de xuǎnzé。 ,"At that time her parents and relatives did not support her, but she insisted on her choice.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505652
277,4.09.4,Lesson,结果,jiéguǒ ,result,,请把调查结果交上来。,qǐng bǎ diàochájiéguǒ jiāo shànglái。 ,Please submit the results of the investigation.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505651
278,4.09.4,Lesson,结果……,jiéguǒ…… ,"As a result, …",,上学期他学习很用功，结果考试及格了。,shàng xuéqī tā xuéxí hěn yònggōng， jiéguǒ kǎoshì jígé le。 ,"He studied hard last term and, as a result, he passed the examination.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505651
279,4.09.5,Lesson,上 #,shàng # ,over #,,这个城市的地铁已经有上百年的历史了。,zhège chéngshì de dìtiě yǐjīng yǒu shàng bǎinián de lìshǐ le。 ,The city's subway has been around for over a hundred years.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505656
280,4.10.1,Lesson,不过,bùguò ,nevertheless,,我本来想当律师，不过后来我发现自己对新闻更感兴趣。,wǒ běnlái xiǎng dāng lǜshī， bùguò hòulái wǒ fāxiàn zìjǐ duì xīnwén gèng gǎnxìngqù。 ,"I originally wanted to be a lawyer, nevertheless I found myself more interested in news.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505670
281,4.10.1,Lesson,不过 V,bùguò V ,only V,,我们不过谈了点儿工作方面的问题，别的都没谈。,wǒmen bùguò tán le diǎnr gōngzuò fāngmiàn de wèntí， biéde dōu méi tán。 ,"We only talked about some work problems (and nothing more), and we didn’t talk about anything else.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505670
282,4.10.2,Lesson,确实,quèshí ,indeed,,爱情确实是结婚的重要原因，但仅有爱情是不够的。,àiqíng quèshí shì jiéhūn de zhòngyào yuányīn， dàn jǐn yǒu àiqíng shì bùgòu de。 ,"Love is indeed an important reason for marriage, but only love is not enough.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505683
283,4.10.3,Lesson,在 S 看来,zài S kànlai ,the way S see it,,在很多人看来，听流行音乐仅仅是年轻人的爱好。,zài hěn duō rén kànlai， tīng liúxíngyīnyuè jǐnjǐn shì niánqīngrén de àihào。 ,The way a lot of people sees it [is that] listening to pop music is only a hobby of young people.,https://chinesezerotohero.teachable.com/courses/292789/lectures/4505671
284,4.10.4,Lesson,由于……,yóuyú…… ,because …,,由于我们的共同努力，任务提前完成了。,yóuyú wǒmen de gòngtóngnǔlì， rènwu tíqián wánchéng le。 ,"Owing to our joint efforts, the task was fulfilled ahead of schedule.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505673
285,4.10.4,Lesson,由于 N,yóuyú N ,due to N,,由于种种原因，我们不得不改变原来的计划。,yóuyú zhǒngzhǒng yuányīn， wǒmen bùdébù gǎibiàn yuánlái de jìhuà。 ,"For various reasons, we had to change the original plan.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505673
286,4.10.5,Lesson,比如……,bǐrú…… ,"for example, ……",,旅游前最好做个计划，比如要去几个地方，怎么坐车等。,lǚyóu qián zuìhǎo zuò gè jìhuà， bǐrú yào qù jǐge dìfang， zěnme zuòchē děng。 ,"It is best to make a plan before the trip, for example, how many places to go to, how to take transit, etc.",https://chinesezerotohero.teachable.com/courses/292789/lectures/4505672
287,4.11.1,Lesson,连 O 也/都 V,lián O yě/ dōu V ,even V O,甚至,你太厉害了，连中文报纸都看得懂。,nǐ tài lìhai le， lián Zhōngwén bàozhǐ dōu kàn dé dǒng。 ,You are so awesome/skilled you can even understand Chinese newspapers.,https://chinesezerotohero.teachable.com/courses/299571/lectures/4606432
288,4.11.1,Lesson,连 S 也/都 V,lián S yě/ dōu V ,even S V,,如果连你自己都不喜欢自己，又怎么能让别人喜欢你呢？,rúguǒ lián nǐ zìjǐ dōu bù xǐhuan zìjǐ， yòu zěnme néng ràng biéren xǐhuan nǐ ne？ ,"If even you don’t like yourself, how can you let others like you?",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606432
289,4.11.2,Lesson,否则,fǒuzé ,"if not, otherwise",如果不,他一定有重要的事找你，否则不会打这么多次电话来。,tā yīdìng yǒu zhòngyào de shì zhǎo nǐ， fǒuzé bùhuì dǎ zhème duōcì diànhuà lái。 ,"He must have something important to see (lit. look for) you about, otherwise he won't call so many times.",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606436
290,4.11.3,Lesson,无论/不管 Q 都,wúlùn/ bùguǎn Q dōu ,regardless of Q,"3.17.2 谁都，怎么都
4.12.2 再……也",无论/不管做什么事都要注意方法，正确的方法可以让我们做得更好。,wúlùn/ bùguǎn zuò shénmeshì dōu yào zhùyì fāngfǎ， zhèngquè de fāngfǎ kěyǐ ràng wǒmen zuò dé gèng hǎo。 ,"Regardless of what you do, choose the right [lit. pay attention to] your methods. The right way can make us do better.",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606434
291,4.11.4,Lesson,然而,rán'ér ,but,"2.14.2 但是
4.2.4 却
4.9.3 可是
4.10.1 不过",很多人觉得自己的生活是幸福的， 然而每个人对幸福的看法却不完全相同。,hěn duō rén juéde zìjǐ de shēnghuó shì xìngfú de， rán'ér měigerén duì xìngfú de kànfǎ què bù wánquán xiāngtóng。 ,"Many people feel that their lives are happy, but everyone's views on happiness are not exactly the same.",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606433
292,4.11.5,Lesson,同时……,tóngshí…… ,"at the same time, …",2.4.2 的时候,阅读能丰富你的知识，同时还会丰富你的情感。,yuèdú néng fēngfù nǐ de zhīshi， tóngshí hái huì fēngfù nǐ de qínggǎn。 ,Reading can enrich your knowledge and (at the same time) [it will] enrich your affects.,https://chinesezerotohero.teachable.com/courses/299571/lectures/4606435
293,4.11.5,Lesson,……的同时,…… de tóngshí ,at the same time when…,,在学习汉语的同时，我还了解了中国的文化。,zài xuéxí Hànyǔ de tóngshí， wǒ hái liǎojiě le Zhōngguó de wénhuà。 ,"While learning Chinese (at the same time), I also learned about Chinese culture.",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606435
294,4.12.1,Lesson,并/并且 V,bìng/ bìngqiě V ,and V,"4.1.1 不仅/不但……而且
4.5.2 再说
",他做事很认真，并且有丰富的经验，让他负责很合适。,tā zuòshì hěn rènzhēn， bìngqiě yǒu fēngfù de jīngyàn， ràng tā fùzé hěn héshì。 ,"He is very serious in his work and has a wealth of experience, which makes him very suitable to be responsible [for this].",https://chinesezerotohero.teachable.com/courses/299571/lectures/4606454
